move_left ,gV_diff_an4, gF_diff_an4 ,gFnnF_diff_an4, gMs_diff_an4, fMs_an4_left, FnnF_A_maxdec, FnnF_A_avgdec, FnnF_fMs_maxdec, FnnF_fMs_avgdec
     1, 54.690, 10.000,  8.833, 226.971, -16.451, -94.715,  1.627, -384.371, 41.671 
     1, 16.283, -4.000, -6.637, 51.961, -4.499, -95.884, -6.608, -149.614, -37.784 
     1, 15.349,  0.000,  3.692,  5.155, -0.700, -237.760, -22.876, 98.223, 78.934 
     1, 33.907, 11.000, 13.554, 108.886, -3.834, -514.239, -173.210, -170.965, -85.937 
    -1, -7.001,  1.000,  0.560,  0.864, -1.623, 515.808, -74.893, 56.619, -1.069 
    -1, -3.139,  2.000,  6.579, 60.583,  3.515, -121.373, -155.010, -50.734, -40.455 
    -1,  1.952, -1.000, -0.487, -51.029,  6.793, -357.767, -118.978, -170.965, -91.118 
     1,  1.066,  2.000,  4.246, -101.597, -3.475, 454.951, 24.476, 139.637, 326.840 
    -1, 19.626, 12.000, 15.646, 231.422, -20.697, 129.724, -156.931, 61.404, -14.809 
    -1, -2.051,  4.000,  8.376, -81.904,  1.320, -153.367, -129.213, 19.411, 21.589 
    -1, 28.672, 12.000, 13.206, 84.664,  5.147, -6299.298, -1721.948, -246.237, 463.378 
     1, 56.810, 18.000, 23.136, 650.679, -1.287, -322.823, -149.100, 42.895, -7.011 
    -1, -1.557, -3.000, -2.354, -80.597, -18.473, -292.490, -180.133, 47.565, 102.873 
    -1, -19.920, -6.000, -7.000, 95.042,  8.854, 276.444, -2058.679, 261.343, 50.217 
    -1, -4.843, -1.000, -5.250, -102.625,  2.701, 228.592, -1082.094, 37.596, 24.584 
    -1, -19.450, -4.000, -5.778, 105.226, -0.813, 277.388, -1838.508, 254.576, -22.391 
    -1, -11.963, -3.000, -5.883, -283.526, 49.069, 56.998,  4.477, -714.543, -167.798 
     1, 101.857, 37.000, 41.309, 2060.970, 142.357, 17.776, 151.790, -490.893, -51.675 
    -1, -20.002, -7.000, -7.758, -32.412, 16.740, 61.430, 419.257, 65.402, 77.013 
     1, 82.399, 38.000, 41.433, 1861.641, -5.764, -1750.803, -125.804, -174.496, -70.503 
    -1, -20.012, -4.000, -0.770, 368.692, -66.696, -184.864, -87.955, -360.295, -55.026 
     1, 13.647,  4.000,  5.393, 147.842, -2.075, -211.089, 205.655, -45.013, 79.601 
     1, 33.531,  8.000,  4.084, 650.747, 106.995, -1724.578, -328.178, -67.665, -9.115 
    -1, -29.308, -4.000,  1.139, 373.285, -20.743, -137.791, -98.037, 36.407, 47.915 
     1, 62.879, 17.000, 23.898, 974.567, 14.881, -1099.816, -202.122, -639.846, -108.156 
     1, 36.755,  4.000,  9.288, 573.958,  4.302, -1073.590, -193.658, 138.424, 93.299 
    -1, -39.676, -8.000, -5.133, 144.146, -6.402, -38.214, -106.912, 72.305, 24.649 
    -1, 21.509, -5.000, -1.333, 47.245,  3.488, -314.790, -143.691, -365.997, -45.756 
     1, -15.152, -5.000, -3.933, 18.930, -14.004, 61.430, 75.621, -450.537, -145.665 
    -1, -26.052, -5.000, -0.633, 306.835,  6.885, -147.305, -224.853, 29.593, 52.285 
    -1, 41.025,  8.000,  6.000, -269.525,  7.817, 210.302, 262.125, -82.037, 23.220 
     1, -43.038, -11.000, -6.000, -92.154,  9.122, 1056.755, 355.178, -12.415, -8.941 
     1, -40.484, -6.000, -6.500, -54.326,  5.469, -114.423, -466.110, -224.208, -61.064 
     1, 25.704,  9.000, 12.332, 61.529, -9.166, 369.620, 363.367, -1286.201, -429.584 
     1, 11.883,  5.000,  6.700, -83.886, -30.873, 335.934, 114.780, -20.430, 21.562 
     1, 125.318, 80.000, 87.222, 1162.785, 29.358, -485.482, 55.602, -4907.847, -1074.634 
     1,  7.047,  4.000,  4.914, 121.599, -0.760, 402.236, 277.391, -4907.847, -787.112 
     1, -4.317, -2.000, -3.300, -279.918, -0.020, 227.181, 148.384, -21.837, -0.983 
     1, 32.005, 14.000, 16.492, 341.455, -9.539, 176.457, 135.867, -21.837, 69.342 
     1,  5.504,  3.000,  4.700, -54.078, -36.338, 154.706, -4.191, -103.654, 18.119 
     1, -42.206, -11.000, -15.984, -130.558,  3.991, -765.018, 784.880, -79.321, -241.346 
    -1, -62.618, -12.000, -26.056, -205.322, 16.191, 183.006, 76.317, 282.762, 24.194 
     1,  3.644,  7.000,  5.644, 202.136, 55.018, 316.507, 136.329, 255.850, 96.503 
    -1, -17.473,  3.000,  3.492, -197.403, -3.111, 136.458, 318.497, 417.145, 320.353 
     0, 92.732, 26.000, 31.626, 1551.401, -3.591, -377.585, 17.020, 25.164, 150.619 
     0, 68.806, 27.000, 30.956, 816.362, -24.711, -1850.354, -127.577, -926.900, -71.970 
     1,  8.915,  4.000,  8.490, 81.941, -13.572, -1663.437, -64.575, 166.309, 89.328 
    -1, -0.178, -2.000,  0.632, 352.169, 41.845, -1231.436, 294.122, 357.746, -72.847 
     1, 67.546, 20.000, 25.392, 876.588, 39.719, -377.585, 160.827, 234.187, -99.831 
    -1, -37.850, -8.000, -12.456, -339.529,  0.530, 161.374, 505.083, 559.915, 391.294 
     0, -6.144, -1.000, -5.732, 117.465, -7.022, 16.215, 67.457, 489.669, -198.133 
    -1, -60.961, -10.000, -23.067, -51.635, -11.451, 265.872, 144.669, 291.879, 88.315 
    -1, -36.672, -4.000, -6.921, -160.884,  3.364, -364.585, -729.119, -128.658, -313.445 
    -1, -3.343, 11.000, 10.726, 14.568, -3.514, -351.214, -229.736, 17.167, -170.245 
    -1, -5.424,  5.000,  7.485, -207.806,  7.686, 225.953, -820.171, 2274.474, 787.212 
    -1, -27.364, -2.000, -7.550, 49.977, -14.330, -69.025, -1282.819, 3677.659, 1195.124 
    -1, -10.858, -1.000, -9.659,  1.605, 31.661, 306.835, -1089.310, 2373.284, 663.999 
     1, 51.506,  6.000, 10.667, -103.211,  0.407, -547.525, -276.101, -18.258, -62.673 
     1, 23.323,  0.000,  5.000, -204.110, 13.902, -994.129, -713.911, -266.364, -217.256 
